Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Launch_Date,Launch_Year
107693,Quantum Gold Fund,Quantum Asset Management Company Private Limited,Open Ended,Other Scheme - Gold ETF,Quantum Gold Fund,5000,127.0879,1/24/2008,2008
107700,Mirae Asset Low Duration Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Regular Plan - Daily IDCW,5000,1005.1646,2/29/2008,2008
107701,Mirae Asset Low Duration Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Regular Plan - Weekly IDCW,5000,1108.9038,2/29/2008,2008
107702,Mirae Asset Low Duration Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Regular Plan - Quarterly IDCW,5000,1018.6046,2/29/2008,2008
107704,Mirae Asset Low Duration Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Regular Plan - Monthly IDCW,5000,1091.5314,2/29/2008,2008
107705,Mirae Asset Low Duration Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Regular Plan - Growth,5000,2373.1899,2/29/2008,2008
107745,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - ELSS,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,5000,59.37,1/1/1994,1994
107763,LIC MF Infrastructure Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,LIC MF Infrastructure Fund-Regular Plan-Growth,5000,52.9681,1/31/2008,2008
107764,LIC MF Infrastructure Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,LIC MF Infrastructure Fund-Regular Plan-IDCW,5000,52.9696,1/31/2008,2008
107900,Reliance Equity Linked Saving Fund - Series I,Nippon Life India Asset Management Limited,Close Ended,ELSS,Reliance Equity Linked Saving Fund - Series I - Dividend Plan,500,32.082,12/18/2007,2007
107901,Reliance Equity Linked Saving Fund - Series I,Nippon Life India Asset Management Limited,Close Ended,ELSS,Reliance Equity Linked Saving Fund - Series I - Growth Plan,500,32.082,12/18/2007,2007
107988,HSBC Global Emerging Markets Fund,HSBC Asset Management (India) Private Ltd.,Open Ended,Other Scheme - FoF Overseas,HSBC Global Emerging Markets Fund - Growth,5000,35.5701,1/28/2008,2008
107989,HSBC Global Emerging Markets Fund,HSBC Asset Management (India) Private Ltd.,Open Ended,Other Scheme - FoF Overseas,HSBC Global Emerging Markets Fund - IDCW,5000,25.0942,1/28/2008,2008
108166,Aditya Birla Sun Life Value Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Value Fund,Aditya Birla Sun Life Value Fund - Regular - IDCW,5000,42.9839,1/17/2008,2008
108167,Aditya Birla Sun Life Value Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Value Fund,Aditya Birla Sun Life Value Fund - Growth Option,5000,130.5684,1/17/2008,2008
108202,DSP Natural Resources And New Energy Fund,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,DSP Natural Resources And New Energy Fund - Regular - Growth,5000,109.793,3/3/2008,2008
108203,DSP Natural Resources And New Energy Fund,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,DSP Natural Resources And New Energy Fund - Regular Plan - IDCW,5000,32.259,3/3/2008,2008
108249,Nippon India Quant Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Nippon India Quant Fund -Growth Plan - Growth Option,5000,69.8697,4/18/2008,2008
108252,Nippon India Quant Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,NIPPON INDIA QUANT FUND - IDCW Option,5000,37.247,4/18/2008,2008
108258,Nippon India Quant Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Nippon India Quant Fund -Growth Plan -Bonus Option,5000,69.8697,4/18/2008,2008
108272,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,5000,147.1742,1/1/2000,2000
108273,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,5000,381.2624,1/1/2000,2000
108274,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,5000,102.0271,1/1/2000,2000
108377,Invesco India Financial Services Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Invesco India Financial Services Fund - Regular Plan -  IDCW (Payout / Reinvestment),5000,70.87,5/19/2008,2008
108378,Invesco India Financial Services Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Invesco India Financial Services Fund - Regular Plan - Growth,5000,138.96,5/19/2008,2008
108402,Taurus ELSS Tax Saver Fund,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,5000,80.83,3/5/2007,2007
108403,Taurus Large Cap Fund,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,5000,66.44,5/7/2008,2008
108465,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - IDCW,5000,28.15,4/8/2008,2008
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,5000,104.43,4/8/2008,2008
108467,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth,5000,37.59,4/8/2008,2008
108479,Quantum Nifty 50 ETF,Quantum Asset Management Company Private Limited,Open Ended,Other Scheme - Other  ETFs,Quantum Nifty 50 ETF,5000,256.0363,6/9/2008,2008
108511,Kotak Dynamic Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Dynamic Bond,Kotak Dynamic Bond Fund Regular Plan Growth,1000,38.5716,5/26/2008,2008
108544,Bandhan Income Plus Arbitrage Active FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Quarterly IDCW,5000,12.8936,8/9/2004,2004
108545,Bandhan Income Plus Arbitrage Active FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Growth,5000,45.878,8/9/2004,2004
108546,Bandhan Income Plus Arbitrage Active FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Half Yearly IDCW,5000,12.996,8/9/2004,2004
108547,Bandhan Income Plus Arbitrage Active FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Annual IDCW,5000,14.5628,8/9/2004,2004
108557,Bandhan Gilt    Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Bandhan Gilt Fund - Regular Plan - Quarterly IDCW,50000000,11.9977,3/24/2003,2003
108558,Bandhan Gilt Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Bandhan Gilt Fund - Regular - Plan B - Half Yearly IDCW,50000000,11.3903,1/1/1900,1900
108559,Bandhan Gilt  Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Bandhan Gilt Fund - Regular Plan - Annual IDCW,50000000,11.277,1/1/1900,1900
108561,BANDHAN Dynamic Bond   Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Dynamic Bond,BANDHAN Dynamic Bond Fund - Regular Plan B - Quarterly IDCW,50000000,11.6579,4/6/2012,2012
108592,Bandhan Focused Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Focused Fund,Bandhan Focused Fund - Regular Plan - Growth,5000,85.597,1/30/2006,2006
108593,Bandhan Focused Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Focused Fund,Bandhan Focused Fund - Regular Plan - IDCW,5000,18.33,1/30/2006,2006
108594,BANDHAN Flexi Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Flexi Cap Fund,BANDHAN Flexi Cap Fund - Regular Plan - Growth,5000,202.09,9/5/2005,2005
108595,BANDHAN Flexi Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Flexi Cap Fund,BANDHAN Flexi Cap Fund - Regular Plan - IDCW,5000,45.231,9/5/2005,2005
108596,Bandhan Large & Mid Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Regular Plan - Growth,5000,136.338,6/27/2005,2005
108597,Bandhan Large & Mid Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Regular Plan - IDCW,5000,26.964,6/27/2005,2005
108632,BANDHAN LOW DURATION FUND,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund - Regular Plan - Growth,5000,40.5847,1/12/2006,2006
108633,BANDHAN LOW DURATION FUND,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund - Regular Plan - Daily IDCW,5000,10.1015,1/12/2006,2006
108634,BANDHAN LOW DURATION FUND,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW,5000,10.1364,1/12/2006,2006
108635,BANDHAN LOW DURATION FUND,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW,5000,10.1426,1/12/2006,2006
108644,Bandhan Gilt Fund   with 10 year constant duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund with 10 year constant duration,Bandhan Gilt Fund with 10 year constant duration Fund - Regular Plan - Monthly IDCW,5000,10.4519,2/21/2002,2002
108646,Bandhan Gilt Fund with 10 year constant duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund with 10 year constant duration,Bandhan Gilt Fund with 10 year constant duration Fund - Regular Plan - Quarterly IDCW,5000,11.5619,2/21/2002,2002
108650,Bandhan Money Market   Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Money Market Fund,BANDHAN Money Market Fund - Regular Plan - Daily IDCW,500,10.0994,4/3/2003,2003
108675,BANDHAN Dynamic Bond  Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Dynamic Bond,BANDHAN Dynamic Bond Fund - Regular Plan B - Annual IDCW,50000000,11.3096,4/6/2012,2012
108690,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund - Regular Plan - Growth,5000,3333.4616,1/1/1900,1900
108691,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,5000,1001.7109,1/1/1900,1900
108692,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,5000,1001.4161,1/1/1900,1900
108693,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,5000,1002.9843,1/1/1900,1900
108694,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID FUND - Inst Plan B - Periodic Div,5000,0,1/1/1900,1900
108701,Bandhan Money  Market Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Money Market Fund,Bandhan Money Market Fund - Regular Plan - Weekly IDCW,5000,10.1458,1/1/2001,2001
108713,Bandhan Short Duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Bandhan Short Duration Fund - Regular Plan - Fortnightly IDCW,500,10.4489,4/1/2001,2001
